title,artist,added
13 Adrenaline Rush,Bun B,ontravelling
Treat Me Right,Keys N Krates,Eternity2Eternity
Call Me,Blondie,coffeecurls84
Nightmares Of The Bottom (Explicit),Lil Wayne,Jordan Hurst
Whoopty NYC (feat. French Montana & Rowdy Rebel) (Explicit),"CJ, French Montana, Rowdy Rebel",Ojntoast
Lovers And Friends (Explicit),"Lil Jon, The East Side Boyz, Usher, Ludacris",Cali_Sober
"Work Hard, Play Hard (Explicit)",Wiz Khalifa,Slattery
Ayy (Explicit),"Berner, Mozzy, YG, Logic",Cmac
Swag Surfin' (Main),F.L.Y. (Fast Life Yungstaz),Dr Fiddleballs
Been That (feat. Rick Ross) (Explicit),Meek Mill,248N8
FTCU (Explicit),Nicki Minaj,CIAO
Mr. Roboto,Styx,coffeecurls84
Hard In Da Paint (Explicit),Waka Flocka Flame,Slattery
All Alone,"Gorillaz, Martina Topley-Bird, Roots Manuva",raclij
Time Bomb (Explicit),Prof,Slattery
I Feel It,Kaivon,Adamino
Brag (feat. Fivio Foreign) (Explicit),"LAYA, Fivio Foreign",AnnieKate
Ballin (Explicit),Logic,Slattery
Whatever You Like (Explicit),T.I.,johnnyrandomwalker
Go Fuck Yourself (Explicit),Two Feet,johnnyrandomwalker
3 Nights,Dominic Fike,Ann Redg8
Hip-Hop (Explicit),Dead Prez,CreepyUnknown
Beast Mode (Explicit),Ludacris,Slattery
Collard Greens (Explicit),"ScHoolboy Q, Kendrick Lamar",Slattery
Frick Park Market (Explicit),Mac Miller,raclij
I Do!!,Toya,Dr Fiddleballs
On My Mama (Explicit),Victoria Monét,Dr Fiddleballs
Go DJ (Explicit),Lil Wayne,Cynsaytional
Son's Gonna Rise (feat. Carlos Santana),"Citizen Cope, Santana",raclij
Big Booty (feat. Megan Thee Stallion) (Explicit),"Gucci Mane, Megan Thee Stallion",248N8
EXCESSIVE CELEBRATION,"Tobe Nwigwe, OchoCinco",Slattery
My Name Is Adam (feat. Mikos Da Gawd) (Explicit),A-1,Adamino
Poison Ivy 2 (Explicit),"Majorlilkween, Maliibu Miitch, Tricks",coffeecurls84
Kill Me Slowly (Explicit),CRYPT1K,CreepyUnknown
No Tears (Explicit),Scarface,248N8
You Got Me (Explicit),"The Roots, Erykah Badu, Eve",Eternity2Eternity
Breathe,Fabolous,Cali_Sober
Church (feat. EARTHGANG),"Samm Henshaw, EARTHGANG",Cmac
Six Days (Remix),"DJ Shadow, Mos Def",Ann Redg8
Sock It 2 Me,LAYA,AnnieKate
So Thick (feat. Baby Goth) (Explicit),"Whipped Cream, Baby Goth",coffeecurls84
Life Is 2009 (feat. Too $hort) (Explicit),"UGK (Underground Kingz), Too $hort",Dr Fiddleballs
METANÖIA (Explicit),Shöckface,Adamino
leavemealone (Explicit),"Fred again.., Baby Keem",Dr Fiddleballs
Jigga My Nigga (Album Version) (Explicit),"Ruff Ryders, JAY Z",Cali_Sober
Crime & Medicine (Album Version),Mos Def,Ann Redg8
Scottie 15 (Explicit),Andre Nickatina,Sheynanigans
Basement Jack (Explicit),Steve Lacy,CreepyUnknown
First Light (Explicit),Xavier Wulf,Slattery
Niggaz Done Started Something (Explicit),"DMX, The LOX, Mase",Cali_Sober
Round And Round (Remix) (Explicit),Jonell,coffeecurls84
YUMA (Explicit),Kota the Friend,Cmac
No More,Milkdrop,Adamino
Spicy (Explicit),"Nas, Fivio Foreign, A$AP Ferg",Slattery
Feel Me Flow (Explicit),Naughty By Nature,Ann Redg8
Tight Rope,Brother Ali,Jordan Hurst
Victory (feat. The Notorious B.I.G. & Busta Rhymes) (Explicit),"Puff Daddy, The Notorious B.I.G., Busta Rhymes",Josh Rueschenberg
Bad Intentions (Album Version) (Explicit),"Dr. Dre, Knoc-Turn'al",Cynsaytional
Tell Me,Groove Theory,coffeecurls84
Simon Says [Remix] (Explicit),Pharoahe Monch,Ojntoast
Ante Up (Robbin Hoodz Theory) (Explicit),M.O.P.,johnnyrandomwalker
Creatures (For a While),311,Marcus McBride
Fat Joe & Big Pun - Freestyle (Explicit),"Fat Joe, Big Pun",ontravelling
Hand In Hand (feat. 2nd II None) (Street Version) (Explicit),"DJ Quik, 2nd II None",Cali_Sober
This Way,Dilated Peoples,Ann Redg8
That Go (Remix) (Explicit),Keak Da Sneak,Sheynanigans
Thizzelle Dance (Explicit),Mac Dre,Dr Fiddleballs
Express Yourself (Remastered 2000) (Explicit),N.W.A,Cynsaytional
Lay Low (Explicit),"Snoop Dogg, Master P, Nate Dogg, Butch Cassidy, Tha Eastsidaz",AnnieKate
You Rock My World,Michael Jackson,RateWonder
(Not The) Greatest Rapper (Gerald Langella Remix),1000 Clowns,Marcus McBride
E-Pro,Beck,Marcus McBride
As I Come Back (Explicit),Busta Rhymes,Slattery
Won't Trade (Explicit),Q-Tip,Jordan Hurst
Smokin' (Explicit),Nas,AnnieKate
None Of Y'all Betta (Album Version (Explicit)) (Explicit),"Jadakiss, Sheek Louch, Styles P",Cali_Sober
Lump Lump,Keith Murray,ontravelling
We Can Freak It (Explicit),Kurupt,Cali_Sober
Vivrant Thing (Explicit),Q-Tip,Cali_Sober
Eightball (Explicit),The Eight Ball,ontravelling
ELECTROWAVEBABY,Kid Cudi,Ann Redg8
G Funk Intro (Explicit),Snoop Dogg,Cynsaytional
The Number Song (Cut Chemist Remix),DJ Shadow,Marcus McBride
Back to the Hotel (Explicit),N2Deep,CIAO
Givin' Up The Nappy Dug Out (Explicit),Ice Cube,ontravelling
Wait (The Whisper Song) (Explicit),Ying Yang Twins,ontravelling
SILVER TOOTH. (Explicit),"Armani White, A$AP Ferg",Sheynanigans
Sell Out,Reel Big Fish,raclij
Genius of Love,Tom Tom Club,johnnyrandomwalker
Y.B.P. (feat. Bruiser Wolf) (Explicit),Danny Brown,Slattery
Gimmie That Nutt (Explicit),Eazy-E,Cmac
Profitless Thoughts KutMasta Kurt REMIX (Explicit),"MF DOOM, Substance Abuse, KutMasta Kurt",Ann Redg8
Sorry 4 The Wait (Explicit),Lil Wayne,Ann Redg8
girls like drugs (Explicit),Paris Texas,Ky Le Mo Ore
Underrated (Explicit),Offset,248N8
Say Cheese,Paul Russell,Dr Fiddleballs
Veridis Quo,Daft Punk,raclij
Let's Talk About Sex,Salt-N-Pepa,johnnyrandomwalker
Thank You (Falettinme Be Mice Elf Agin) (Single Version),Sly & The Family Stone,raclij
Senior Skip Day (Explicit),Mac Miller,Cmac
My Prerogative,Britney Spears,coffeecurls84
The Seed (2.0) (Explicit),"The Roots, Cody ChestnuTT",maltliquorkicker
Church,Outkast,Cmac
Respect,Aretha Franklin,CIAO
You Came to Party (Explicit),"Too $hort, Meter Mobb",Ann Redg8
Gangsta Walk (feat. Nate Dogg) (Explicit),"SNBRN, Nate Dogg",Eternity2Eternity
Better Now,Blanks,johnnyrandomwalker
On My Knees (Adriatique Remix),RÜFÜS DU SOL,Cali_Sober
New Level (feat. Future) (Explicit),"A$AP Ferg, Future",AnnieKate
Late Night Tip (Explicit),Three 6 Mafia,ontravelling
Okay,Shiba San,Eternity2Eternity
Thats How (Explicit),"Young Dolph, Key Glock",Jordan Hurst
212 (Explicit),"Azealia Banks, Lazy Jay",coffeecurls84
In Da Getto,"J Balvin, Skrillex",Eternity2Eternity
Kareem Abdul-Jabbar (Explicit),Lil Dicky,ontravelling
13 Adrenaline Rush,Bun B,ontravelling
No Lie (Explicit),"2 Chainz, Drake",Slattery
Shake That (Explicit),Megan Thee Stallion,Jordan Hurst
Party All the Time,Eddie Murphy,coffeecurls84
Mrs. Worldwide (Explicit),Yung Gravy,coffeecurls84
To The Left (Album Version (Explicit)) (Explicit),Crucial Conflict,Jordan Hurst
Itchin' (feat. Future) (Explicit),"DJ Infamous, Future",AnnieKate
Watch Me (feat. Gardella & Wreckno) (Explicit),Miss Tiddy,Adamino
Murda Something (feat. Waka Flocka Flame) (Explicit),"A$AP Ferg, Waka Flocka Flame",Josh Rueschenberg
The Scrappy (Explicit),BS 2000,Marcus McBride
