title,artist,added
Jingling Baby (Remixed But Still Jingling) (Remix),LL COOL J,Marcus McBride
I Put A Spell On You (Pretty Lights Remix),Nina Simone,Jordan Hurst
Chocolate (Explicit),"Big Boi, Trozé",Ann Redg8
What Is Love?,Deee-Lite,Marcus McBride
Don't Give Me No Bammer Weed (Explicit),RBL Posse,coffeecurls84
Thriller,Michael Jackson,Jamie Jackson
100% Pure Love,Crystal Waters,Ktz
My Band (Explicit),D12,Slattery
1980 (Explicit),Dirt Nasty,Ryan Anthony
Spooky,Dusty Springfield,Eternity2Eternity
Psycho Killer (2005 Remaster),Talking Heads,raclij
Heartbreaker,"Purple Disco Machine, Chromeo",geogkid21
Somebody's Watching Me (Single Version),Rockwell,Eternity2Eternity
Street General II (Explicit),Spice 1,geogkid21
Jet Fuel (Explicit),Mac Miller,blackcatpickles
E.T. (Extraterrestrial) (Explicit),Outkast,AnnieKate
Rap Professor (Explicit),Sean Price,blackcatpickles
Wednesday (Explicit),EARTHGANG,Jamie Jackson
Donnie Darko (Explicit),Cal Scruby,Ryan Anthony
Never Leave Me Alone (Explicit),Nate Dogg,blackcatpickles
