title,artist,added
Dipset (Santana's Town) (Explicit),"Juelz Santana, Cam'ron",KAPWN
Neva Play (feat. RM of BTS) (Explicit),"Megan Thee Stallion, RM",Dr Fiddleballs
Top Back,T.I.,Candice C. Carter
Wanksta (Explicit),50 Cent,johnnyrandomwalker
1 Threw 8 (Explicit),Mac Miller,slimjim80889
Couple Grand (Explicit),Trae Tha Truth,Ktz
Got Money (Explicit),"Lil Wayne, T-Pain",J
Spit Your Game (feat. Twista & Bone Thugs-n-Harmony) [2005 Remaster] (Explicit),"The Notorious B.I.G., Bone Thugs-N-Harmony, Twista",KAPWN
HOT ONE (Explicit),"Denzel Curry, TiaCorine, A$AP Ferg",AnnieKate
Air Forces (Explicit),Jeezy,Step
City On The Map (Explicit),"Griselda, 50 Cent",KAPWN
I'm a Ram,Al Green,Jordan Hurst
Down And Out (Explicit),"Cam'ron, Kanye West, Syleena Johnson",J
PULL UP,"Connor Price, Hoodie Allen",Slattery
6 Foot 7 Foot (Explicit),"Lil Wayne, Cory Gunz",Jordan Hurst
Long Live the Chief (Explicit),Jidenna,johnnyrandomwalker
Feel It Right Now,RDGLDGRN,Dr Fiddleballs
Six Days (Remix),"DJ Shadow, Mos Def",coffeecurls84
Ready or Not (Explicit),"Fugees, Ms. Lauryn Hill, Wyclef Jean, Pras",JFLBridge
Statute Of Limitations (Explicit),2 Chainz,KAPWN
Navajo,Masego,Cmac
All I Know,"DJ Jazzy Jeff, C.L. Smooth",Paul A.
Fake Names (Explicit),"Freddie Gibbs, Madlib",slimjim80889
Everyday Hustle (Explicit),"Future, Metro Boomin, Rick Ross",KAPWN
Big Subwoofer (Explicit),"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40, Too $hort",Slattery
DEVIL IS A LIE (Explicit),Tommy Richman,Ann Redg8
What I'm Here 4 (Explicit),Gang Starr,J
Still Dreaming (Explicit),"Nas, Kanye West, Chrisette Michele",AnnieKate
Acid Raindrops,People Under The Stairs,AnnieKate
Blueberry (Explicit),"Snoop Dogg, LBC Crew, Tha Dogg Pound",J
Pimp Hand (Explicit),Vince Staples,Paul A.
Recognize & Realize Part 1 (Explicit),"Big Noyd, Prodigy, Havoc",J
Grown Up (Explicit),Danny Brown,blackcatpickles
Superman Lover,"Johnny ""Guitar"" Watson",FutureDCXXIII
Magic Stick (Explicit),Lil' Kim,JFLBridge
