title,artist,added
I Said What I Said (Explicit),"Drumma Boy, Ludacris, Snow Tha Product",Ojntoast
Lemme Freak (Explicit),Lil Dicky,AnnieKate
Brown Sugar (Croatia Squad Remix),Platinum Doug,Cali_Sober
Numbers (Explicit),"Skepta, Pharrell Williams",Sheynanigans
4 My People (feat. Eve) (Explicit),"Missy Elliott, Eve",Eternity2Eternity
Cocaine,Phantoms,Eternity2Eternity
Fashion Killa (Papapapa),"Mason, Stefflon Don",bholder79
2 Legit 2 Quit,"MC Hammer, Saja",Ann Redg8
BIG EVERYTHING (feat. DaBaby & T-Pain) (Explicit),"Busta Rhymes, DaBaby, T-Pain",Sheynanigans
Versace (Explicit),Migos,AnnieKate
Gimme Some More,Busta Rhymes,coffeecurls84
Walkin (Key Glock remix) (Explicit),"Denzel Curry, Key Glock",Slattery
Are You That Somebody,Aaliyah,Ktz
Yeern 101 (Explicit),ScHoolboy Q,Slattery
SCIENTISTS & ENGINEERS (Explicit),"Killer Mike, André 3000, Future, Eryn Allen Kane",Ann Redg8
What They Want (Explicit),Russ,Ktz
On My Level (feat. Too $hort) (Explicit),"Wiz Khalifa, Too $hort",AnnieKate
IBTFY,"UZ, TroyBoi",Marcus McBride
Let's Go (Explicit),Key Glock,bholder79
Throw It Back (Explicit),Missy Elliott,AnnieKate
IV. Sweatpants (Explicit),Childish Gambino,CookieCutter
Awnaw (Modified-Squeaky Clean),Nappy Roots,Sheynanigans
Bad Boyz (feat. Barrington Levy),"Shyne, Barrington Levy",Cynsaytional
BLACK OPS (Explicit),"Kid Cudi, Denzel Curry",AnnieKate
