title,artist,added
Together Forever (Explicit),"Big Sean, The Alchemist",Dr Fiddleballs
Boss Talk (Explicit),"Casey Veggies, D Smoke, Dylvinci",flaco_kream
Dope Niggaz (Explicit),"Lil Wayne, Snoop Dogg",KAPWN
Gold,Kiiara,Slattery
Flirt (Explicit),"PRhyme, 2 Chainz",Chris Clark
Word To Spread feat. Tom Thum,"The Funk Hunters, Chali 2na",Dr Fiddleballs
Neva Herd Dis B 4 (Album Version (Explicit)) (Explicit),"Method Man, Redman",J
BACKBONE (Explicit),"Chase & Status, Stormzy",Dr Fiddleballs
GOOD DIE YOUNG (Explicit),Cal Scruby,Ann Redg8
The Grind Date (Explicit),De La Soul,Jordan Hurst
Flashing Lights (Explicit),Kanye West,Paul A.
I Got Love (Explicit),Nate Dogg,Kimmyk
Closer (Explicit),Nine Inch Nails,coffeecurls84
How Ya Do Dat (Explicit),"Young Bleed, Master P, C-Loc, Steady Mobb'n, King George, Gangsta T, Silkk The Shocker",KAPWN
Shorty Wanna Ride (Explicit),Young Buck,J
Star/Pointro (Explicit),The Roots,Chris Clark
6 Summers (Explicit),Anderson .Paak,Cynsaytional
Gorilla (Explicit),Little Simz,KatalystJess
Devil's Pie (Explicit),D'Angelo,Step
The Sun God (Explicit),Hi-Tek,Dr Fiddleballs
Tenkkeys (Kklasikk Version),Spark Master Tape,Jordan Hurst
Cruisin' (Explicit),Chase Martin,maltliquorkicker
100 Grandkids (Explicit),Mac Miller,Ann Redg8
Vibe (Explicit),Axe Murder Boyz,Ann Redg8
G.O.M.D (Explicit),J. Cole,Jordan Hurst
Million Cash,"Connor Price, Armani White",Slattery
The Largest (Explicit),BigXthaPlug,KAPWN
Gotta Get Thru This (D'N'D Radio Edit),Daniel Bedingfield,Sheynanigans
Overnight Celebrity (feat. Miri Ben-Ari) (Explicit),"Twista, Miri Ben-Ari",CreepyUnknown
Party All the Time,Eddie Murphy,Step
No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz",Jordan Hurst
Original Don (Flosstradamus Remix),"Major Lazer, The Partysquad",Cali_Sober
Moments In Love,Art Of Noise,coffeecurls84
Coco (Wuki Remix),"Black Caviar, U.N.i",Cali_Sober
Summertime,"DJ Jazzy Jeff, The Fresh Prince",geogkid21
Put It On Me (Explicit),DJ Quik,Cali_Sober
Summer Love,Justin Timberlake,Cynsaytional
Stay In My Lane,S.I.A.T Stuck in a Tree,Kimmyk
The Poop Song,The Toilet Bowl Cleaners,flaco_kream
Comin' Thru (Explicit),Chali 2na,blackcatpickles
Get Right,Jennifer Lopez,Dr Fiddleballs
Ballin’ (Explicit),"Mustard, Roddy Ricch",Slattery
RNP (feat. Anderson .Paak) (Explicit),"Cordae, Anderson .Paak",Ben Allen
I'm a Thug (Explicit),Trick Daddy,CreepyUnknown
Still Tippin' (feat. Slim Thug and Paul Wall) (Explicit),"Mike Jones, Paul Wall, Slim Thug",CreepyUnknown
Wait For Me,"Carnage, G-Eazy, Wiz Khalifa",CMac
Talkin In Screw (feat. That Mexican OT) (Explicit),"Maxo Kream, That Mexican OT",KAPWN
Ripper,"Mr. Carmack, Shanghai Doom",Step
Jaguar,What So Not,Cali_Sober
Breathe (feat. RZA) [Liam H and Rene LaVice Re-Amp],"The Prodigy, RZA",johnnyrandomwalker
My Own Summer (Shove It),Deftones,Cynsaytional
Kryptonite (Explicit),Purple Ribbon All-Stars feat. Big Boi,CreepyUnknown
ZOMBIE (Explicit),Qveen Herby,coffeecurls84
Miami Blue (feat. Big K.R.I.T. & Buddah Bless) (Explicit),Megan Thee Stallion,Step
