title,artist,added
Rhyme Dust,"MK, Dom Dolla",Cali_Sober
Fancy Footwork (Laidback Luke remix),Chromeo,geogkid21
Gas Pedal Remix (Explicit),"John Summit, Subtronics, Tape B, Sage the Gemini",Eternity2Eternity
Thug Luv (feat. 2pac) (Explicit),"2Pac, Bone Thugs-N-Harmony",flaco_kream
Studio (Explicit),"ScHoolboy Q, BJ The Chicago Kid",Slattery
check (Explicit),bbno$,Slattery
Can't Get Enough,"J. Cole, Trey Songz",Slattery
For Sale (Explicit),"Strick, A$AP Rocky",Slattery
Pop Style (Explicit),"Drake, The Throne",AnnieKate
Legit Ballers (Explicit),"Twista, Speedknot Mobstaz",flaco_kream
Is That Yo Bitch (Explicit),"JAY-Z, Timbaland",KatalystJess
