title,artist,added
Tenderly,Disclosure,Michael Mosley
U Don't Know Me (Explicit),T.I.,CIAO
Coastal Shindig,King Fantastic,Ann Redg8
Slapper (Ayye) (Clean),Nadia Oh,Adamino
Failed Attempt (Explicit),"Boldy James, Real Bad Man",ontravelling
The Jig,"Six Figga Digga, Camp Lo",Dr Fiddleballs
Black Mags (Explicit),The Cool Kids,ontravelling
Go To Hell (Explicit),"Rick Ross, Meek Mill, Cool & Dre, BEAM",Dr Fiddleballs
Highest Respect,"Sub Zero & DJ Limited, SPYDA",Michael Mosley
Getting Real (Explicit),"Soulja Slim, Fiend, Full Blooded",ontravelling
Bad Bitch (Album Version (Explicit)) (Explicit),Obie Trice,CIAO
Let Me Breathe (Explicit),Action Bronson,Steven Kotula
808 Knock (Explicit),Groove Dealers,Adamino
MC's Act Like They Don't Know (Explicit),KRS-One,johnnyrandomwalker
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna) (Explicit)","Raekwon, Ghostface Killah, Method Man, Cappadonna",JFLBridge
Kkonkkrete (Explicit),Spark Master Tape,ontravelling
Final Frontier,RJD2,Dr Fiddleballs
Music and Liquor,Wax and EOM,SLATTERY
Stir Fry (Explicit),Migos,JFLBridge
I Luv Your Girl (Remix (Explicit)) (Explicit),"The-Dream, Jeezy",Dr Fiddleballs
Gorilla (Explicit),Little Simz,SLATTERY
Don't Front (Explicit),"Eminem, Buckshot",SLATTERY
Renee (Explicit),Lost Boyz,Cali_Sober
Bread And Butter (Album Version (Explicit)) (Explicit),The Roots,JFLBridge
Luv 2 Luv U (Remix) (Explicit),"Timbaland, Magoo, Shaunta, Playa",Cynsaytional
Best Time (Explicit),Brent Faiyaz,Chuck DanTana
Mrs. International (Album Version (Explicit)) (Explicit),"Method Man, Redman, Erick Sermon",Dr Fiddleballs
You'll Find A Way (Switch and Sinden Remix),Santigold,Dr Fiddleballs
Ham 'N' Eggs,A Tribe Called Quest,JFLBridge
Caught Out There (Explicit),Kelis,Chuck DanTana
You and Shayna v1,Venetian Snares,CreepyUnknown
One More Road To Cross (Explicit),DMX,Cali_Sober
Toot It And Boot It (Explicit),YG,CIAO
Get Like Me (Explicit),"Nelly, Nicki Minaj, Pharrell Williams",CIAO
Superthug (Explicit),N.O.R.E.,Cali_Sober
It's Like That,"Mariah Carey, Jermaine Dupri, Fatman Scoop",johnnyrandomwalker
Show Discipline (Album Version (Explicit)) (Explicit),"Jadakiss, Nas",Cali_Sober
Hold Tight (Explicit),"Slum Village, Q-Tip",Michael Mosley
Feel It (Jazzy Jeff Soulful Remix),Black Eyed Peas,Michael Mosley
Happy Hour (Edited; Feat. Cee-Lo Green),"Jazze Pha, Cee-Lo Green",Cynsaytional
CHICKEN TERIYAKI,ROSALÍA,coffeecurls84
SOCKS 4 THE LOW (Explicit),Swxm,ontravelling
For What It’s Worth,Buffalo Springfield,johnnyrandomwalker
Breathe And Stop (Explicit),Q-Tip,Cali_Sober
Kick The P.A.,"Korn, Dust Brothers",Marcus McBride
Stop Being Greedy (Explicit),DMX,Cali_Sober
Hot Dog (Explicit),Limp Bizkit,Kelly Wheelz
I Changed My Mind (Stereo Mcs Rattlesnake Mix) (Explicit),Lyrics Born,johnnyrandomwalker
N 2gether Now- All In Together Now,Limp Bizkit,eternity2eternity
Shut It Down,"TroyBoi, Armani White",Ann Redg8
I'm Perfect (Explicit),KenTheMan,Diana Poulos
Whistle While You Twurk (ColliPark Mix),Ying Yang Twins,Adamino
All Of A Sudden,"The Funk Hunters, Dr. Fresch, Chali 2na",Ann Redg8
Rump Shaker,Wreckx-N-Effect,Ann Redg8
Where Do We Go? (Explicit),"G Yamazawa, Wreck-N-Crew, Dope Sutton, Trie Cartier",Dr Fiddleballs
Cereal Killer (Album Version (Explicit)) (Explicit),"Method Man, Redman",JFLBridge
It's My Turn,Stezo,Marcus McBride
Lovin On Me (Explicit),Jack Harlow,CIAO
Do Me Like A Drug,Emmanuel Franco,CIAO
If I Had No Loot,Tony! Toni! Toné!,CIAO
OK (feat. Young Thug) (Explicit),"Busta Rhymes, Cool & Dre, Young Thug",Ann Redg8
Jolene,Dolly Parton,CIAO
Alright (Explicit),Kendrick Lamar,coffeecurls84
80 BARZ (Explicit),Redman,Ann Redg8
Things I Don't Mean,"Tweet, Missy Elliott",Michael Mosley
