title,artist,added
Break Ups 2 Make Ups (Explicit),"Method Man, D'Angelo",Dr Fiddleballs
ili,TroyBoi,Carl Boudreau
It's Going Down,"Blackalicious, Lateef The Truth Speaker, KeKe Wyatt",Ann Redg8
Real Nigga Quotes (Album Version),common,J
Body Roc (Explicit),Fat Pat,Step
Mighty Healthy,Ghostface Killah,C-Bone
Still Kaps,"JJ DOOM, Jneiro Jarel, Khujo Goodie",flaco_kream
Look At Me (Explicit),"Mobb Deep, Clipse, Pusha T, Malice",J
Lung Tung Wai,Chaweewan Dumern,Carl Boudreau
Puppet Master (feat. B Real & Dr. Dre) (Explicit),"DJ Muggs, Dr. Dre, B-Real",Step
Voodoo Child (Slight Return),Jimi Hendrix,jordanhurstspotify
Slip (Explicit),Lil Wayne,Slattery
Breakin' the Rules (Explicit),M.O.P.,Step
Trife Life (Explicit),Mobb Deep,flaco_kream
Where We Are About to Take It (Explicit),Busta Rhymes,C-Bone
Chocolates (feat. Dirty Mf),Dirty Mf,johnnyrandomwalker
Beat Don't Stop,"Big Gigantic, The Funk Hunters, Chali 2na",Dr Fiddleballs
Under The Influence (Explicit),"Eminem, D12",J
Damien (Explicit),DMX,Step
Lady Don't Tek No (Explicit),Latyrx,Carl Boudreau
Armageddon (Explicit),Hell Razah,flaco_kream
Frontier Psychiatrist,The Avalanches,johnnyrandomwalker
Speaking In Tungs (feat Cam'ron) (Explicit),"Vado, Cam'ron",jose
My Shit Bang (Explicit),E-40,YaLadyK
The Safety Dance (Extended Dance Version),Men Without Hats,Marcus McBride
Coño (Explicit),"PURI, Jhorrmountain, Adje",Carl Boudreau
Paint The Town Red (Explicit),Doja Cat,Carl Boudreau
Superstition,Stevie Wonder,Eternity2Eternity
Space Ghost Coast To Coast (Explicit),Glass Animals,JFLBridge
More Human Than Human (Explicit),White Zombie,Eternity2Eternity
Lapdance (Explicit),"N.E.R.D, Vita, Lee Harvey",KatalystJess
Dracula's Wedding (feat. Kelis),"Outkast, Kelis",johnnyrandomwalker
GHOST. (Explicit),"Armani White, Samara Cyn",JFLBridge
The Boogie Monster,Gnarls Barkley,Dr Fiddleballs
