title,artist,added
Bread (butter version),"Sofi Tukker, Seu Jorge",Dr Fiddleballs
Red Alert,DJ Laz,Step
I'm Gonna Get You (Original Flavour Mix),Bizarre Inc.,Dr Fiddleballs
Lady (Hear Me Tonight),Modjo,Eternity2Eternity
Ring My Bell,Anita Ward,johnnyrandomwalker
Bodak Yellow (Explicit),Cardi B,Step
RATATA,"Skrillex, Missy Elliott, Mr. Oizo",Slattery
soft serve,Leikeli47,flaco_kream
Get A Move On!,"Mr Scruff, Sneaky",johnnyrandomwalker
Topdown (Explicit),Channel Tres,Cali_Sober
YOU'RE THE ONE,"KAYTRANADA, SYD",Cynsaytional
Freak (Explicit),Doja Cat,coffeecurls84
I've No More Fucks To Give (Explicit),Thomas Benjamin Wild Esq,johnnyrandomwalker
Another (feat. Lil' Kim) [2014 Remaster] (Explicit),"Lil' Kim, The Notorious B.I.G.",Step
Ms. Jackson,Party Pupils,Eternity2Eternity
Feel It Still (ZHU Remix),Portugal. The Man,Cali_Sober
You Oughta Know (2015 Remaster) (Explicit),Alanis Morissette,JFLBridge
N 2 Gether Now,Limp Bizkit,CMac
Street Talkin' (Explicit),"Slick Rick, Outkast",Jordan Hurst
Big Beat Bang Out,"Akil The MC, JaBari, QAASIMOEDOE, Jurassic 5",AnnRedg8
Beautiful Life (feat. Action Bronson & Joey Bada$$) (Explicit),Statik Selektah,Dr Fiddleballs
John Daly,"Connor Price, Nic D",Slattery
Don't Worry Be Happy (Explicit),"Lil Duval, T.I.",paiger
