title,artist,added
My 64 (feat. Snoop Dogg and Bun B) (Explicit),"Mike Jones, Bun B, Snoop Dogg",AnnRedg8
Oh Yeah (Work) [feat. Sean P. of YoungBloodZ and E-40],"Lil Scrappy, E-40, Sean P. of YoungBloodZ",Step
Welcome To The End Of The World (Gaslight District Song) (feat. GameboyJones & CG5),"LongestSoloEver, GameboyJones, Cg5",Dr Fiddleballs
FLY NAMES (feat. Ghostface Killah) (Explicit),"MC Technique, Ghostface Killah",CMac
Paper Planes (Diplo Street Remix),"M.I.A., Bun B, Rich boy",geogkid21
Me And My Girlfriend (Explicit),Makaveli,Ktz
Thug Life (feat. Fbg Duck) (Explicit),Hollywood Swervo,Ktz
Hypnotize (Explicit),"Luniz, Redman",flaco_kream
Ibtihaj (Explicit),"Rapsody, D'Angelo, GZA",Jordan Hurst
felt like rapping 2 (Explicit),JZAC,CMac
Mistadobalina,Del Tha Funkee Homosapien,JFLBridge
"Trans DF Express (feat. Cee-Lo, Outkast, Big Gipp & Backbone) (Club Mix)","Dungeon Family, Cee-Lo Green, Outkast, Big Gipp, Backbone",AnnRedg8
Cold Feet (Explicit),Mac Miller,Slattery
Fuck Tha Police (Explicit),N.W.A,JFLBridge
Close Edge (Explicit),Mos Def,AnnRedg8
"Lockdown (feat. JID, Noname & Jay Rock) [Remix] (Explicit)","Anderson .Paak, JID, Jay Rock, Noname",CMac
Off The Books (Explicit),Cuban Link,AnnRedg8
Remember Me (Original Mix),Blue Boy,CMac
Likwit Rhyming (Explicit),"Tony Touch, Xzibit, Tash, Defari",Marcus McBride
I Can't Wake Up,KRS-One,AnnRedg8
When It's Over (Remastered),Sugar Ray,Step
Ric Flair Drip (Explicit),"Offset, Metro Boomin",geogkid21
Toot It Up (Explicit),"Pardison Fontaine, Cardi B",Ktz
Hold You Tight,Tara Kemp,Jamie Jackson
Summertime In The LBC (Explicit),Dove Shack,Step
Can't Hold Us Down (feat. Lil' Kim),"Christina Aguilera, Lil' Kim",Ktz
Rolling With Heat (Explicit),The Roots,Cynsaytional
Eminence Front,The Who,CMac
Breakdown (LP Version),FU-Schnickens,Cynsaytional
Blow Your Mind (Remix) (Explicit),Redman,Cynsaytional
Don't Do Drugs,"Danger Mouse, Jemini The Gift",Jordan Hurst
Impeach the President,The Honey Drippers,johnnyrandomwalker
Set It Off (Album Version) (Explicit),"Kardinal Offishall, Clipse",Step
Respond/ React (Album Version) (Explicit),The Roots,AnnRedg8
Don't Be Fooled (Explicit),Tyga,DJ Joel
Got It Boomin (Explicit),"Oren Major, The Grand Mess",johnnyrandomwalker
Be Easy (Album Version) (Explicit),"Ghostface Killah, Trife Da God",AnnRedg8
Sorry Not Sorry (Explicit),Joey Bada$$,flaco_kream
Building Steam With A Grain Of Salt (Salva Remix) (Explicit),DJ Shadow,geogkid21
Pull the Catch,Fat Freddy's Drop,CreepyUnknown
Triggaman (Explicit),"Maxo Kream, Denzel Curry",flaco_kream
Plan B (Explicit),Megan Thee Stallion,JFLBridge
F*CK YOU (Explicit),Crystal Crave,Ktz
Old English (Explicit),"Young Thug, A$AP Ferg, Freddie Gibbs",flaco_kream
Batman (Remix) (Explicit),"LPB Poody, Lil Wayne, Moneybagg Yo",Ktz
Jordan Belfort (Explicit),"Wes Walker, Dyl",Dr Fiddleballs
Daydreamin' (feat. Jill Scott) (Explicit),"Lupe Fiasco, Jill Scott",Slattery
Genesis (Drum & Bass Remix),Ren,johnnyrandomwalker
Rollin' Stone,Red Astaire,paiger
One Love Karma,Morcheeba,johnnyrandomwalker
SEOUL BROTHER,"nobigdyl., Kato on the Track",KatalystJess
Ain't No Rest for the Wicked,Cage The Elephant,Cali_Sober
The Boys Are Back In Town (Explicit),"Yung Gravy, Pouya, Ramirez, TrippyThaKid",Dr Fiddleballs
Hip-Hop (Explicit),Dead Prez,Slattery
It's Bigger Than Hip-Hop (feat. Tahir And Peoples Army) (Explicit),"Dead Prez, Tahir And Peoples Army",AnnRedg8
Shoulder Lean (feat. T.I.) (Explicit),"Young Dro, T.I.",Step
What Goes Around...Comes Around (Instrumental),Justin Timberlake,JFLBridge
Andre The Giant (Explicit),Prof,JFLBridge
How We Do,Pretty Lights,johnnyrandomwalker
AIGHT (Explicit),"WESTSIDE BOOGIE, DRAM",Dr Fiddleballs
Pop Shots (produced by DJ Premier) (Explicit),Ol' Dirty Bastard,AnnRedg8
That's the Way It Is,Céline Dion,Ktz
The Whole World (feat. Killer Mike) (Explicit),"Outkast, Killer Mike",Ktz
To Be Real (Explicit),"Tank and The Bangas, Hasizzle, Keedy Black, Big Choo",Jordan Hurst
Woo Hah!! Got You All in Check (The World Wide Remix) [feat. Ol' Dirty Bastard] [2021 Remaster] (Explicit),"Busta Rhymes, Ol' Dirty Bastard",AnnRedg8
The Blacker The Berry (Explicit),Kendrick Lamar,Cynsaytional
Wut Would You Do (feat. Dirty Red) (Explicit),"Dirty Red, Eazy-E",JFLBridge
Tru Tank Dogs (Explicit),"Snoop Dogg, Mystikal",Dr Fiddleballs
Ongoing Thing (feat. Oddisee),"20syl, Oddisee",CreepyUnknown
Citrus Nioxide (Explicit),"1999 WRITE THE FUTURE, The Pharcyde, Danny Brown",NES Jumpman
Dreams (Explicit),Aaron May,Jordan Hurst
Break Da Law 2001 (Explicit),Project Pat,Step
Action Man (Explicit),Pete & Bas,johnnyrandomwalker
Novacane (Explicit),"Lil Wayne, Kevin Rudolf",CMac
Party Like A Rock Star (Album Version (Explicit)) (Explicit),Shop Boyz,Step
EAST CHATT (feat. Isaiah Rashad) (Explicit),"Ray Vaughn, Isaiah Rashad",flaco_kream
Gucci Ninja Assassins 2: In the Metal Garden of Fire (Explicit),"Mr. Green, Gucci Mane, Garden of Fire",Dr Fiddleballs
Woah (Explicit),Young Dolph,Step
Jaguar,What So Not,Cali_Sober
Count Up (Explicit),Speaker Knockerz,DJ Joel
Undastatement (Explicit),2 Chainz,Step
boom (Explicit),bbno$,Slattery
Woof Woof,69 Boyz,Step
Gotta Get Thru This (D'N'D Radio Edit),Daniel Bedingfield,Eternity2Eternity
Shawty Freak A Lil Sumtin' (Explicit),Lil Jon & The East Side Boyz,Step
Mannequins & Egos (Explicit),Zhu,Cali_Sober
Ratchet,"Wizard, Scizzahz",CreepyUnknown
Moonlight (Explicit),XXXTENTACION,Cynsaytional
I Only Smoke When I Drink,nimino,CMac
