title,artist,added
Day In The Sun (Gettin' wit U) (Explicit),"De La Soul, Q-Tip, Yummy Bingham",Hyghgynx
Cheka (Album Version (Explicit)) (Explicit),"Method Man, Redman",johnnyrandomwalker
Left And Right (Explicit),"D'Angelo, Redman, Method Man",Step
HAM (Explicit),Darnell Williams,KatalystJess
Magic Stick (Explicit),Lil' Kim,SweetAsh
Stand Up (Explicit),Tierra Whack,Dr Fiddleballs
Bleed (Explicit),"DJ HANSEN, Guru, AZ, Styles P",Dr Fiddleballs
Ante Up (Robbin Hoodz Theory) (Explicit),M.O.P.,Cali_Sober
"Kick, Push",Lupe Fiasco,SweetAsh
Sparkle,Camp Lo,Step
Ensalada (Explicit),"Freddie Gibbs, The Alchemist, Anderson .Paak",CMac
Best Time,Brent Faiyaz,Step
On Up (Explicit),Big Sean,YaLadyK
"Nuthin' But A ""G"" Thang (Explicit)","Dr. Dre, Snoop Dogg",Xenocite
Love On Layaway (Explicit),Vincent Antone,maltliquorkicker
Sittin' Sidewayz (feat. Big Pokey) (Explicit),"Paul Wall, Big Pokey",Xenocite
Walk It Out (Explicit),"Outkast, Jim Jones, DJ Unk",Ann Redg8
The Rain (Supa Dupa Fly) (Explicit),Missy Elliott,Cali_Sober
Nothing to Lose,"The Floozies, Gibbz, Eric Benny Bloom",maltliquorkicker
Ziriguidum,"Tropkillaz, Rael, Dow Raiz",Step
Bonfire (Explicit),Childish Gambino,Ann Redg8
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne) (Explicit)","Tyler, The Creator",Slattery
Aquaberry Dolphin (feat. Mac Miller) (Explicit),"Riff Raff, Mac Miller",Dr Fiddleballs
Hat Low (Explicit),Goodie Mobb,Dr Fiddleballs
6 Foot 7 Foot (Explicit),"Lil Wayne, Cory Gunz",Xenocite
Scottie Pippens (Explicit),"Curren$y, The Alchemist, Freddie Gibbs",flaco_kream
Starburst (Explicit),Danny Brown,Hyghgynx
places to be (Explicit),"Anderson .Paak, Fred again.., CHIKA",YaLadyK
Breezin (Explicit),Del Playa,Ann Redg8
Tribe (Explicit),"Bas, J. Cole",Dr Fiddleballs
Got 'Til It's Gone (Explicit),"Janet Jackson, Q-Tip, Joni Mitchell",Cali_Sober
Slob On My Knob (Jazz Remix) (Explicit),Juicy J,KatalystJess
Midnight In A Perfect World,DJ Shadow,flaco_kream
Can't Deny It (feat. Nate Dogg) (Explicit),"Fabolous, Nate Dogg",Ann Redg8
Lady Luck (Explicit),Ground Up,johnnyrandomwalker
Rooftop Shottas (Explicit),"Oh No, Aloe Blacc, Ghostface Killah, Tristate",Ann Redg8
MUTT (CB REMIX),"Leon Thomas, Chris Brown",SweetAsh
Hand Clapping Song,The Meters,Step
DEVIL IS A LIE (Explicit),Tommy Richman,YaLadyK
How To Be The Man (feat. Slim Thug & Paul Wall) (Houston Remix) (Explicit),"Riff Raff, Paul Wall, Slim Thug",Dr Fiddleballs
California Love (Original Version) (Explicit),"2Pac, Roger Troutman, Dr. Dre",Xenocite
How Ya' Do Dat' Again (Explicit),Young Bleed,Dr Fiddleballs
Bad Girl Drumma,"Wuki, Juvenile",KatalystJess
WAM (Explicit),"A$AP Ferg, Madeintyo",Dr Fiddleballs
Grindin' (Explicit),Clipse,NES Jumpman
Chains & Whips (Explicit),"Clipse, Kendrick Lamar, Pharrell Williams, Pusha T, Malice",NES Jumpman
California (Mashup),Trinix Remix,Eternity2Eternity
Accordion (Explicit),Madvillain,flaco_kream
Speedballin' (Explicit),Outkast,Ann Redg8
By the Sword (Explicit),Iamjakehill,Dr Fiddleballs
Cowgirl Trailride,"S Dott, Tonio Armani",paiger
Victory Lap (Explicit),"Fred again.., Skepta, PlaqueBoyMax",Cali_Sober
Dumptruck (Explicit),Kinfolk Thugs,YaLadyK
Boujee Lennons (Explicit),"Anella Herim, 2 Chainz",YaLadyK
Juicy (Explicit),Young Dolph,Step
They Know (Dey Know) (Explicit),Shawty Lo,Ann Redg8
Da Blow (Explicit),"Lil Jon, The East Side Boyz, Gangsta Boo",Xenocite
Put On (Explicit),"Jeezy, Kanye West",Xenocite
SHE GOT THAT THING,BIG WETT,Jamie Jackson
Beto’s Horns (fred remix),"Fred again.., ca7riel & Paco Amoroso",maltliquorkicker
