title,artist,added
The Waters (Explicit),Mick Jenkins,flaco_kream
LiFE 4 A LiFE (Explicit),"IDK, Pusha T",flaco_kream
Terrible 2's (feat. Run The Jewels) (Explicit),"DJ Premier, Run The Jewels",Dr Fiddleballs
FAT RAPS 4 (Explicit),"Chip tha Ripper, Larry June, Denzel Curry, mgk",Dr Fiddleballs
Roc-A-Fella Billionaires (Album Version (Explicit)) (Explicit),"Freeway, JAY Z",Hyghgynx
November Has Come,Gorillaz,JFLBridge
KONNiCHiWA (Explicit),"Riff Raff, E-40",flaco_kream
Good Things Will Come After the Pressure,Sault,flaco_kream
Stuntin' (Explicit),The Floozies,maltliquorkicker
Things You Can Do (RBM Remix) (Explicit),"Deltron 3030, Del Tha Funkee Homosapien, Dan The Automator, Real Bad Man",Ann Redg8
So Be It (Explicit),"Clipse, Pusha T, Malice",C-Bone
Make Me Better (Explicit),"Fabolous, Ne-Yo",Cynsaytional
Pause Tapes (Explicit),"Nas, DJ Premier",NES Jumpman
Let the Bass Go,The D.O.C.,C-Bone
1nce Again (feat. Tammy Lucas) (Twister Mix),"A Tribe Called Quest, Aphrodite, Tammy Lucas",CMac
Strangers (feat. A$AP Rocky and Run The Jewels) (Explicit),"Danger Mouse, Black Thought, A$AP Rocky, Run The Jewels",Marcus McBride
Stand Tall,"Chali 2na, Cut Chemist, Stickybuds, Dynamite MC, Mista Savona",maltliquorkicker
Mighty Healthy,Ghostface Killah,C-Bone
Wild Out (Album Version) (Explicit),The LOX,Hyghgynx
yup! (Explicit),Yung Gravy,johnnyrandomwalker
Trippy Mane (ft. Project Pat) (Explicit),"Diplo, Project Pat, d00mscrvll",Hyghgynx
Sucka Free (Explicit),"Big Boi, Sleepy Brown, Killer Mike",paiger
Orange Village (Explicit),"Larry June, The Alchemist, Slum Village",flaco_kream
Karate (feat. Chevy Woods) / Never Hesitate (feat. Darrius Willrich) (Explicit),"Wiz Khalifa, Chevy Woods, Darrius Willrich",CMac
Check On It (feat. Bun B & Slim Thug) (feat. Bun B and Slim Thug),"Beyoncé, Bun B, Slim Thug",Slattery
13 Street Hop 2010 (Explicit),"Royce Da 5'9""",C-Bone
Los Santos (Explicit),Current Blue,YaLadyK
Steamed Hams,Dankmus.,Dr Fiddleballs
Come Together Flip,Star Monster,CMac
LIGHTYEARS,Dirt Monkey,maltliquorkicker
Gimme Room (Explicit),"Eazy Mac, Golden Bsp",Slattery
drink to me (feat. Method Man) (remix) (Explicit),"Mr. Green, Method Man",Dr Fiddleballs
Verses from the Abstract,A Tribe Called Quest,C-Bone
Do I Fit In Your Shoes? (Explicit),BabyJake,CMac
Shake Something (Explicit),"Louis The Child, Joey Purp",CMac
Freaks of the Industry,Digital Underground,C-Bone
It's Me (Explicit),Exile,C-Bone
Yes We Can Can,The Pointer Sisters,johnnyrandomwalker
19-2000,"Gorillaz, Miho Hatori, Tina Weymouth",Ann Redg8
Regular Everyday Normal Motherfucker,Independent Lemon,jordanhurstspotify
Cash Flow (Explicit Album Version) (Explicit),Bravehearts,Hyghgynx
I Don't F**k With You (Explicit),Trinix Remix,CMac
Try Again,Aaliyah,Merry Xmas
"I Know, Didn't I","DJ Nu-Mark, Slimkid 3, Darondo",jordanhurstspotify
Scandalous (U.S. Radio Edit),Mis-Teeq,JFLBridge
E=mc2 (Explicit),"J Dilla, Common",C-Bone
Here Come The Lords (Explicit) (Explicit),Lords Of The Underground,Marcus McBride
tv off (Explicit),"Kendrick Lamar, Lefty Gunplay",Merry Xmas
Say Yeah,TroyBoi,Cali_Sober
Take Me to the River,Talking Heads,Cynsaytional
Got It Twisted (Clean),Mobb Deep,Hyghgynx
Don't Play No Game That I Can't Win (Explicit),"Santigold, Beastie Boys",Ann Redg8
93 'Til Infinity,Souls Of Mischief,NES Jumpman
Pump It Up (Album Version (Explicit)) (Explicit),Joe Budden,Cynsaytional
"Ooh Wee (feat. Ghostface Killah, Nate Dogg, Trife & Saigon) (Explicit)","Mark Ronson, Ghostface Killah, Nate Dogg, Trife, Saigon",JFLBridge
Joints & Jams (Soundtrack Version),Black Eyed Peas,NES Jumpman
Say Somethin',"Mariah Carey, Snoop Dogg",Merry Xmas
"New Year, I’m The Same Motherfucker (Explicit)",Nick Hustles,Dr Fiddleballs
LOVERS OR FRIENDS (Explicit),"YG, Leon Thomas",Cali_Sober
Pump up the Volume,M/A/R/R/S,johnnyrandomwalker
Promiscuous,"Nelly Furtado, Timbaland",Slattery
Look At All Those Idiots,The Simpsons,jordanhurstspotify
Stop Playing With Me (Explicit),"Tyler, The Creator",JFLBridge
The Creator,"Pete Rock, C.L. SMOOTH",Dr Fiddleballs
Web (Explicit),The Roots,maltliquorkicker
Red Light,USHER,Merry Xmas
Witchoo,"Durand Jones & The Indications, Durand Jones, Aaron Frazer",Eternity2Eternity
24k (Explicit),Tkay Maidza,Merry Xmas
Come Around,"M.I.A., Timbaland",coffeecurls84
Skittles (ft. Juicy J & Project Pat) (Explicit),"Diplo, d00mscrvll, Juicy J, Project Pat",Dr Fiddleballs
The Hills x Creepin x The Color Violet,TommyMuzzic,coffeecurls84
Maui Wowie (Explicit),Kid Cudi,Benji Joseph
FLAKKA (Explicit),"IDK, Conductor Williams, MF DOOM",flaco_kream
Call The Law (Explicit),"Anthony Q., Juicy J",johnnyrandomwalker
MFN Right (Remix) (Explicit),"2 Chainz, Lil Wayne",CMac
PUNK ROCKY (Explicit),A$AP Rocky,paiger
The Largest (Explicit),Bernzikial,maltliquorkicker
Loitering (ft. Kodak Black) (Explicit),"Diplo, d00mscrvll, Kodak Black",Hyghgynx
Seance,PEEKABOO,Benji Joseph
B.M.F. (Blowin' Money Fast) (Explicit),Rick Ross,Cynsaytional
Way Too Good (Phonk Version) (Explicit),"Varien, Project Pat",Ann Redg8
Cardigan,Don Toliver,johnnyrandomwalker
Booga,Central Cee,Benji Joseph
At The Top (Explicit),Killer Mike,paiger
Sky Walker (feat. Travis Scott) (Explicit),"Miguel, Travis Scott",Ann Redg8
'89 Dope Spot (Explicit),Nacho Picasso,Slattery
Yo Body (Explicit),"Twista, Do or Die, Johnny P",YaLadyK
Don't Go Out (Explicit),Juicy J,flaco_kream
She Will (Explicit),"Lil Wayne, Drake",Merry Xmas
Crank Dat DJ Wax,Waxmaster,CMac
Life Has Value (Explicit),Chill Bump,jordanhurstspotify
Dreams (Explicit),The Game,Merry Xmas
