title,artist,added
Breakdown (feat. Krayzie Bone & Wish Bone),"Mariah Carey, Krayzie Bone, Wish Bone",coffeecurls84
Happy Feelin',"Earth, Wind & Fire",Cynsaytional
Saliva,Viktor Vaughn,flaco_kream
Chill Bae (Explicit),Lil Uzi Vert,AnnieKate
Power 106 Promo (Explicit),Jurassic 5,Dr Fiddleballs
Grown Up (Explicit),Danny Brown,blackcatpickles
Hoochie Mama (feat. Tyga) (Explicit),"Buddy, Tyga",Ktz
GodLovesUgly (Remix) (Explicit),"Atmosphere, Zeds Dead, Subtronics",maltliquorkicker
Ego Maniacs (Explicit),"Ice Cube, Busta Rhymes, Killer Mike",Dr Fiddleballs
Step into a World (Rapture's Delight),KRS-One,SweetAsh
Express Yourself (Explicit),N.W.A,AnnieKate
Superwoman Pt. II (Rap Version Remix) [feat. Fabolous],"Lil' Mo, Fabolous",SweetAsh
Part II (Explicit),"Method Man, Redman",Ann Redg8
Cherry Wine (Explicit),"Nas, Amy Winehouse",Ktz
Wash Your Face In My Sink,Dream Warriors,Marcus McBride
Quit Cattin (Explicit),Kool John featuring P-Lo,AnnieKate
Pimpin' Ain't Easy (Godfather Theme) (Explicit),Ice-T,geogkid21
Snuggle,GlobulDub,CreepyUnknown
