title,artist,added
Know The Ledge,Eric B. & Rakim,Dr Fiddleballs
Mic Jack (Explicit),"Big Boi, Adam Levine, Sleepy Brown, Scar",CMac
Empire feat. Flowdan (Dr. Fresch Remix),"The Funk Hunters, Stickybuds, Flowdan",Eternity2Eternity
Stroking My Meat (Explicit),Illunimati Corporation,flaco_kream
Enter Sandstorm,Lespecial,maltliquorkicker
White Noise,"Disclosure, AlunaGeorge",Cali_Sober
Choices (Yup) (Explicit),E-40,Slattery
Fresh (House of Prayers Poolside Edit),Crazibiza,Eternity2Eternity
My Love,"Route 94, Jess Glynne",Eternity2Eternity
GOOD PUSS (Explicit),COBRAH,CMac
Spill the Wine,War,raclij
Wish I Didn't Miss You,Angie Stone,SweetAsh
Love Train,The O'Jays,JFLBridge
Slow Down Love (feat. Chelsea Cutler),"Louis The Child, Chelsea Cutler",Cali_Sober
like JENNIE (Explicit),JENNIE,SweetAsh
151 Rum (Explicit),JID,Slattery
MICHIGAN (Explicit),"Kota the Friend, Big Sean",CMac
1985 (Explicit),"Freddie Gibbs, The Alchemist",Slattery
Get It Back (Explicit),"DJ Holiday, 2 Chainz, Gucci Mane",Jordan Hurst
CHA CHA,DRAM,Jordan Hurst
All Night (Explicit),Big Boi,johnnyrandomwalker
Kings & Queens (Explicit),"DJ Shadow, Run The Jewels",CMac
Stash Pot (Explicit),Koopsta Knicca,flaco_kream
Til The Color Fades (Explicit),GRiZ,Cali_Sober
I'm God,Lil B,flaco_kream
Weedle (feat. Always Teste),Ed Bassmaster & DJ Cliffy D,flaco_kream
Come Around,Collie Buddz,Ann Redg8
Deception,Blackalicious,Ann Redg8
P.A.N. (Explicit),Godemis,Slattery
Throw Them Thangs (feat. Three 6 Mafia) (Explicit),"Three 6 Mafia, Indo G",Jordan Hurst
Ratchet (Explicit),Autoerotique,Eternity2Eternity
Say Less (Explicit),"Don Trip, Street Symphony",maltliquorkicker
ARE YOU WITH THAT? (Explicit),Vince Staples,flaco_kream
Don't Lose My Number (2016 Remaster),Phil Collins,JFLBridge
