title,artist,added
Mind Playing Tricks on Me (Explicit),Geto Boys,Cali_Sober
Monster (Explicit),"Kanye West, JAY-Z, Rick Ross, Nicki Minaj, Bon Iver",Slattery
Bow Down (Explicit),Westside Connection,Cali_Sober
Fuck with You (Explicit),"King Lil G, Too $hort",TAT
Damien (Explicit),DMX,Dr. Fiddleballs
We Can Freak It (Explicit),Kurupt,Cali_Sober
Candy Shop (Explicit),"50 Cent, Olivia Longott",Jordan Hurst
Quiet Storm (Explicit),Mobb Deep,Cali_Sober
Back That Azz Up (Explicit),"Juvenile, Lil Wayne, Mannie Fresh",Ann Redg8
Indo Smoke (Album Version),Mista Grimm,Cali_Sober
Superstition (Single Version),Stevie Wonder,Eternity2Eternity
Party And Bullshit (Explicit),The Notorious B.I.G.,Cali_Sober
Freaks Come Out at Night,Whodini,Dr. Fiddleballs
More Human Than Human (Explicit),White Zombie,Eternity2Eternity
Children's Story (Explicit),Slick Rick,BIER
Witch Doctor (Explicit),Hopsin,Slattery
Shortnin' Bread,The 3 Pieces,Jessica Benefield
Ghost Ship,Bonobo,johnnyrandomwalker
BUTTERFLY COUPE (Explicit),"Kalan.Frfr, Tyga",TAT
Spookie Coochie (Explicit),Iamdoechii,Jordan Hurst
Bring Me To Life,Evanescence,Chow
Scary Moves (Explicit),Bad Meets Evil (Eminem & Royce),Benji Joseph
Demons (Explicit),Doja Cat,Slattery
Bird on a Wire (feat. Bronson Action Bam Bam) (Explicit),Raff Riff highroller,ontravelling
89 Earthquake (Explicit),"Larry June, The Alchemist",ontravelling
Come on In (Explicit),Brian Brown,ontravelling
Toxic,Britney Spears,Chow
The Exorcist (Trap Remix),Trap Remix Guys,Chow
Halloween (Explicit),Kodak Black,JWM
Nann (feat. Trina),"Trick Daddy, Trina",ontravelling
"Ghostbusters (I'm Not Afraid) (from the ""Ghostbusters"" Original Motion Picture Soundtrack) (feat. Missy Elliott)","Fall Out Boy, Missy Elliott",johnnyrandomwalker
SKED (Explicit),"Denzel Curry, Kenny Mason",Benji Joseph
Penguins (Explicit),"Young Dolph, Key Glock",Benji Joseph
Ghostrider (Explicit),Young Bleed,Dr. Fiddleballs
Look At This Face (Oh My God They're Gorgeous),Handsome Boy Modeling School,BIER
Backstage (Explicit),"Kxng Crooked, Joell Ortiz",Ojntoast
Horror Show (Explicit),"DJ Shadow, Danny Brown",raclij
Super Scary Monsters (feat. Prof) (Explicit),Grieves,raclij
Gz and Hustlas (Explicit),Snoop Dogg,Cali_Sober
Oooh / Ghost Weed Skit 01 (Explicit),De La Soul,Ann Redg8
Mad Scientist (Explicit),Large Professor,Jordan Hurst
Creep (Explicit),Radiohead,Chow
Heavy Games II (feat. Jeff Bhasker) (Explicit),"Portugal. The Man, Jeff Bhasker",Jessica Benefield
Creep,TLC,Jordan Hurst
Self Conscience (Dirty Version) (Explicit),"Prodigy, Nas",Dr. Fiddleballs
Ghostwriter,RJD2,Dr. Fiddleballs
Hypnotize (2014 Remaster) (Explicit),The Notorious B.I.G.,Cali_Sober
Jack The Ripper,LL COOL J,Dr. Fiddleballs
Devil Music (Explicit),The Pharcyde,labyrinthinelasermoon
Tarzan Boy (Summer Version / 2010 Digital Remaster),Baltimora,raclij
Lean Like A Cholo (Explicit),"Down A.K.A. Kilo, Kilo",raclij
I Want Candy,Bow Wow Wow,Cynsaytional
Hip Hop Is Dead,"Nas, will.i.am",Cali_Sober
Highway to Hell,AC/DC,BIER
Ghostbusters,"Ray Parker, Jr.",johnnyrandomwalker
Trouble’s Coming,Royal Blood,raclij
Sympathy For The Devil,The Rolling Stones,JFLBridge
People Are Strange,The Doors,Eternity2Eternity
People Are Strange (Acoustic Version),Tiny Tim,Slattery
The X-Files (Trap Remix),Trap Remix Guys,Eternity2Eternity
The Addams Family (Trap Remix),Trap Remix Guys,Slattery
Bugatti (feat. Pusha T),Tiga,TAT
Sweet Dreams (Are Made of This) (Remastered),"Eurythmics, Annie Lennox, Dave Stewart",Chow
Judgement Night (Explicit),Prophet Posse,ontravelling
Crack Rock (Explicit),The Dogs,raclij
Harry Potter (Trap Remix),Trap Remix Guys,Chow
Thuggish Ruggish Bone (Explicit),Bone Thugs-N-Harmony,Cali_Sober
BEETLEJUICE THEME SONG (REMIX),"Keiron Raven, Trap Music Now",Chow
Dark Horse,"Katy Perry, Juicy J",Chow
Heads Will Roll,Yeah Yeah Yeahs,Slattery
bad guy,Billie Eilish,Chow
Gimme Some More,Busta Rhymes,BIER
Halloween Theme,"John Carpenter, Cody Carpenter, Daniel Davies",Chow
Feel Good Inc.,Gorillaz,Benji Joseph
Sprinter (Explicit),"Dave, Central Cee",Benji Joseph
"My Family (from ""The Addams Family"")","Migos, Karol G, Snoop Dogg, Rock Mafia",Jordan Hurst
Hoochie Mama (Explicit),2 LIVE CREW,Ann Redg8
S.O.T.L. (Silence of the Lambs) [feat. Lil Wayne] (Explicit),Ludacris,raclij
Wolverine vs Freddy Krueger,Epic Rap Battles of History,Jordan Hurst
Supernature,Cerrone,Slattery
Somebody's Watching Me,Rockwell,Eternity2Eternity
Psycho Killer,Talking Heads,Cynsaytional
