title,artist,added
The Boogie Man Song (Explicit),Mos Def,Cynsaytional
Cali Iz Active (Explicit),Tha Dogg Pound,Cali_Sober
Pure Morning,Placebo,coffeecurls84
Church (feat. Teddy Verseti) (Explicit),"T-Pain, Teddy Verseti",Ann Redg8
Get It How U Live!! (Explicit),Hot Boys,ontravelling
I Ain't Perfect (Explicit),"Mozzy, Blxst",ontravelling
Ghostface Killers (feat. Travis Scott) (Explicit),"21 Savage, Offset, Metro Boomin, Travis Scott",Benji Joseph
These Boots Are Made for Walkin',Nancy Sinatra,Chow
Seein' Thangs (Explicit),"DJ Shadow, David Banner",Dr. Fiddleballs
This Is Halloween,Marilyn Manson,coffeecurls84
Vampire (Explicit),"Payday, Danny Brown",Slattery
A Nightmare On My Street,"DJ Jazzy Jeff, The Fresh Prince",Dr. Fiddleballs
Scary (feat. Rico Nasty) (Explicit),"Megan Thee Stallion, Rico Nasty",Benji Joseph
Neato,Three Loco,Ann Redg8
Halfsharkalligatorhalfman,Dr. Octagon,Dr. Fiddleballs
Scream,"Master P, Silkk The Shocker",Jordan Hurst
Boogieman,Childish Gambino,Cynsaytional
Murder Ink (Explicit),"Dr. Dre, Hittman, Ms. Roq",Step
"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck) (Explicit)","Wu-Tang Clan, RZA, Ghostface Killah, Raekwon, Inspectah Deck",JFLBridge
Kill Bill,SZA,Chow
"Halloween (feat. Q-Unique, Swel, Jise One, D-Stroy, Ching Rock, Freestyle & Kinetic NRG) (Explicit)",Arsonists,Jordan Hurst
Addams Groove,MC Hammer,Dr. Fiddleballs
BATTY BOYZ (Explicit),MF DOOM,labyrinthinelasermoon
Dr. Frankenstein (Explicit),Ice Cube,Jordan Hurst
Dead Bodies (Explicit),The Alchemist,Dr. Fiddleballs
S2s,"Flawless Real Talk, Stevie Stone",Ojntoast
Murder Was The Case (Explicit),Snoop Dogg,raclij
Constant Elevation,Gravediggaz,ontravelling
Sweet Dreams (Are Made Of This),Marilyn Manson,Chow
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,Eternity2Eternity
