title,artist,added
Go To Town (Explicit),Doja Cat,coffeecurls84
Phone Numbers (Explicit),"Dominic Fike, Kenny Beats",CMac
Look Like You Love It (Explicit),Elliphant,Carl Boudreau
I Am the Grinch (feat. Fletcher Jones),"Tyler, The Creator, Fletcher Jones",Dr Fiddleballs
All Caps (Explicit),"Madvillain, Madlib, MF DOOM",NES Jumpman
Come Back in One Piece (feat. DMX),"Aaliyah, DMX",Cali_Sober
Nasty Esco Nasir (Explicit),"Nas, DJ Premier",Dr Fiddleballs
Runaway (Explicit),"Kanye West, Pusha T",Slattery
Numbers On The Boards (Explicit),Pusha T,Carl Boudreau
A Pimp's Christmas Song (Explicit),Snoop Dogg,jordanhurstspotify
Preservation (Explicit),"Wu-Tang Clan, Del Tha Funkee Homosapien, Aesop Rock",coffeecurls84
My Little Mama Trippin On Xmas (Explicit),Bad Lucc,jordanhurstspotify
White Christmas (Kaskade Remix),Bing Crosby,Bier
Can't Deny It (feat. Nate Dogg) (Explicit),"Fabolous, Nate Dogg",Merry Xmas
Ghetto Rock (Explicit),Mos Def,Dr Fiddleballs
Memory Lane (Sittin' in da Park) (Explicit),Nas,Cali_Sober
Glass House (Explicit),PawPaw Rod,CMac
Grants Tomb '97 (JazzMobile) (Explicit),"Big L, Joey Bada$$, BVNGS",Dayton
"You're A Mean One, Mr. Grinch","Tyler, The Creator",Slattery
Hood Gone Love It (feat. Kendrick Lamar),"Jay Rock, Kendrick Lamar",Chuck DanTana
We Right Here (Explicit),DMX,Cali_Sober
Player's Ball (Explicit),Outkast,Dr Fiddleballs
Celebrate (Explicit),Anderson .Paak,jordanhurstspotify
Rudolph The Red Nosed Reindeer,DMX,Bier
Runnin' (Glen Nicholls Remix) (Explicit),The Pharcyde,Ann Redg8
Wonderful Christmastime (Full Length Version / Remastered 2011),Paul McCartney,Jamie J
5th Floor (10pm),"Cautious Clay, Q-Tip",Ann Redg8
I Can Feel It (Explicit),DMX,Cali_Sober
If I Can't (Explicit),50 Cent,johnnyrandomwalker
Ain't No Chimneys in the Projects,"Sharon Jones, The Dap-Kings",Cynsaytional
Georgy Porgy (Explicit),Ghostface Killah,Dayton
Sure Shot (Explicit),Beastie Boys,Ann Redg8
This Christmas,"Mustard, Ella Mai",YaLadyK
Rascal (Superstar) (Explicit),Tinashe,coffeecurls84
Broke Phone (Explicit),Seis0ul,Ktz
Back Door Santa,Clarence Carter,Dr Fiddleballs
Just A Lil' Thick (She Juicy) (feat. Mystikal & Lil Dicky) (Explicit),"Trinidad James, Mystikal, Lil Dicky",Ktz
"Can't Stop, Won't Stop (Explicit)","Young Gunz, Chingy",Merry Xmas
The Choice Is Yours (Revisited),Black Sheep,Slattery
Party Up (Explicit),DMX,Dayton
"Grinch 2000 (From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack)","Busta Rhymes, Jim Carrey",Dr Fiddleballs
Got Your Money (feat. Kelis) (Explicit),"Ol' Dirty Bastard, Kelis",Eternity2Eternity
squabble up (Explicit),Kendrick Lamar,Dayton
Christmas In The Hood (Explicit),Daz Dillinger,YaLadyK
I Am Blessed (Wax Tailor Remix),Nina Simone,jordanhurstspotify
The Jump Off (feat. Mr. Cheeks) [Remix] (Explicit),"Lil' Kim, Mr. Cheeks",Merry Xmas
Trap Carol Bells (Instrumental),DJ Trapaholic,Bier
A Christmas Fucking Miracle (Explicit),"Run The Jewels, El-P, Killer Mike",jordanhurstspotify
Big Bad Mama (Explicit),"Foxy Brown, Dru Hill",johnnyrandomwalker
Last Christmas,Wham!,Cynsaytional
Elastic (Explicit),Joey Purp,Carl Boudreau
Feeling Good (Austin Millz Remix),"Nina Simone, Austin Millz",Eternity2Eternity
In da Wind (Explicit),"Trick Daddy, Big Boi, Cee-Lo Green",CMac
Thanx 4 The Funk,The Boys,Jamie J
The Way I Are,"Timbaland, Keri Hilson, D.O.E.",Eternity2Eternity
..FEISTY,"Fred again.., BIA",Ann Redg8
Bounce It (feat. Wale & Trey Songz) (Explicit Version) (Explicit),"Juicy J, Wale, Trey Songz",Dr Fiddleballs
Badders,"Peekaboo, Flowdan, Skrillex",Carl Boudreau
Wildfire,"SBTRKT, Little Dragon",Merry Xmas
12 Days of Christmas (Explicit),Gucci Mane,Eternity2Eternity
Poppin' Tags (Explicit),"JAY Z, Big Boi, Killer Mike, Twista",paiger
Against The World (Explicit),Mobb Deep,Dayton
Surround Sound (Explicit),"JID, 21 Savage, Baby Tate",Dayton
Merry F**king Christmas (Explicit),"Mr. Garrison, The 3rd Grade Teacher",jordanhurstspotify
Pimps (Explicit),8Ball & MJG,Jamie J
Really Doe (feat. Kendrick Lamar & Ab-Soul & Earl Sweatshirt) (Explicit),Danny Brown,Dr Fiddleballs
Let The Beat Build (Explicit),Lil Wayne,Slattery
101 (The Good Stuff),Knowmads,Dr Fiddleballs
music when i'm high,mike.,Ktz
CONFETTI (Explicit),"Your Old Droog, Count Bass D",flaco_kream
Street Made (Explicit),"DJ Muggs, Scarface, Freddie Gibbs",flaco_kream
Grinch on That Beat,DJ Rhett,YaLadyK
44 Bars (Explicit),Ludacris,paiger
Dick In A Box (Album Version) (Explicit),"The Lonely Island, Justin Timberlake",YaLadyK
Take on Me,a-ha,Eternity2Eternity
Grillz (Explicit),"Nelly, Paul Wall, Ali & Gipp",Eternity2Eternity
BigXmas (Explicit),BigXthaPlug,johnnyrandomwalker
Ratchet Christmas,Jiggly Caliente,YaLadyK
1999 (2019 Remaster),Prince,johnnyrandomwalker
The Box (Explicit),Roddy Ricch,CMac
Party Poops,Heatwave,jordanhurstspotify
Lake Shore Drive,Theo Parrish,Jamie J
Renegades Of Funk,Rage Against The Machine,Marcus McBride
Take It to da House (Explicit),Trick Daddy,Merry Xmas
Leave Me Like This,"Skrillex, Bobby Raps",Cali_Sober
Talk of the Town (Explicit),"Fred again.., Sammy Virji, Reggie",Ann Redg8
FLY,"Mura Masa, Cherish",johnnyrandomwalker
What You Want for Christmas,"Quad City DJ's, The 69 Boyz and K-Nock",YaLadyK
Bellz,TroyBoi,Eternity2Eternity
Daddy's Lambo (Explicit),Yelawolf,Slattery
Digits (Explicit),Young Thug,Noah Schak
Flashlight (ft. Project Pat & Juicy J) (Slowed) (Explicit),"Diplo, Project Pat, Juicy J",Carl Boudreau
Carol of the Dicks (Explicit),The Sissy Dicks,YaLadyK
United States Of Whatever,Liam Lynch,Marcus McBride
Texas (Explicit),BigXthaPlug,Carl Boudreau
St. Brick Intro (Explicit),Gucci Mane,johnnyrandomwalker
GIANT LEAPS (Explicit),"Recoechi, Femdot",flaco_kream
