title,artist,added
Swang (Explicit),Rae Sremmurd,AnnieKate
Titties and Beer,dj funk,Dr Fiddleballs
Moncler Machete,Riff Raff,Wilks
50k (feat. Gucci Mane) (Explicit),"Waka Flocka Flame, Gucci Mane",Wilks
I Just Wanna,Big Wild,Jordan Hurst
WEIDAMINEH (Explicit),"KAMAUU, TrapCellist, Siimbiie Lakew",Pup
Vibe Check (Explicit),GRiZ,Ann Redg8
Lookin Boy (feat. Yung Joc) (Main Version - Explicit) (Explicit),"Hot Stylz, Yung Joc",KatalystJess
Colossal (Explicit),"Larry June, 2 Chainz, The Alchemist",Ann Redg8
3 Peat (Explicit),Lil Wayne,Slattery
Lights Down Low (feat. Waka Flocka Flame) (Explicit),"Bei Maejor, Waka Flocka Flame",SweetAsh
"Return of the ""G"" (Explicit)",Outkast,AnnieKate
Use Me Up,UGK (Underground Kingz),Dr Fiddleballs
She Got It (feat. Coco Jones & GloRilla) (Explicit),"Teddy Swims, Coco Jones, GloRilla",KatalystJess
Dead Wrong feat Young Buck (Explicit),Jake One,Step
Grnfthr (Explicit),Spark Master Tape,Pup
The 9th Circle (Explicit),MAKAVELIGODD,KatalystJess
’97 3-6 FREESTYLE (Explicit),Killer Mike,paiger
No Way (Explicit),Doomtree,johnnyrandomwalker
DRIP KEEP DRIP (Explicit),"rare, ENOKALYPSE, BERRYMANE",CreepyUnknown
Runaway,Bon Jovi,Benji Joseph
Flood (Explicit),"Little Simz, Obongjayar, Moonchild Sanelly",flaco_kream
Heart Of Glass (Special Mix),Blondie,coffeecurls84
"A Roller Skating Jam Named ""Saturdays""",De La Soul,Dr Fiddleballs
Sexy Black Timberlake (Explicit),Channel Tres,Step
Bad Boy,"Yung Bae, bbno$, Billy Marchiafava",Dr Fiddleballs
Smooth Operator (Single Version),Sade,Eternity2Eternity
She Wants To Move,N.E.R.D,Cynsaytional
Ok (Explicit),Beastie Boys,Gigi
White Noise,"Disclosure, AlunaGeorge",Eternity2Eternity
